measurement index,char,punching bag,traffic light
0,0.1604396253824234,0.002534944098442793,0.001170973526313901
1,0.0739426463842392,0.042357344180345535,0.0006972706760279834
1,0.02400781773030758,0.0009297804208472371,0.0003495394194032997
2,0.07860733568668365,0.041916172951459885,0.0011330650886520743
3,0.13972103595733643,0.039512358605861664,0.0021756163332611322
5,0.06541261076927185,0.09155764430761337,0.0028232738841325045
6,0.12654004991054535,0.048746682703495026,0.0027989286463707685
7,0.2681880593299866,0.02004995569586754,0.002959031844511628
8,0.0004967470886185765,0.0008223023032769561,0.0005402869428507984
8,0.0008284818613901734,0.00025050152908079326,0.0008704376523382962
12,0.18645325303077698,0.0077400002628564835,0.000457713205832988
13,0.32352128624916077,0.013215456157922745,0.0016013653948903084
14,0.22163864970207214,0.00899999774992466,0.0040551950223743916
15,0.47210338711738586,0.0054440745152533054,0.0001983849360840395
16,0.0004757057467941195,9.65176077443175e-05,0.0001640472182771191
17,2.6237436031806283e-05,8.484274076181464e-06,1.927879020513501e-05
18,0.02605556510388851,0.010209477506577969,0.004142222460359335
20,0.00016276519454549998,0.0004899122868664563,0.00313667394220829
20,0.14832738041877747,0.014331125654280186,0.02436182089149952
20,0.06332029402256012,0.014449497684836388,0.0016423469642177224
23,5.776153557235375e-05,0.0006941584288142622,0.0008284526411443949
24,0.16073469817638397,0.006578289438039064,0.007285673171281815
25,0.07756677269935608,0.0018930023070424795,0.007442253641784191
30,0.0028034003917127848,0.00012905920448247343,0.0013166763819754124
30,6.507933903776575e-06,2.624253829708323e-05,4.748584979097359e-05
33,0.007352292072027922,0.000430167157901451,0.01710784062743187
34,0.008204584009945393,0.0019313098164275289,0.19889387488365173
34,1.7723748896969482e-05,1.8114904378307983e-05,6.854682578705251e-05
35,0.06986873596906662,0.019008273258805275,0.004155603237450123
36,0.08182648569345474,0.02249840274453163,0.0007968076970428228
38,0.0008561972645111382,0.00037760482518933713,0.004255017265677452
42,0.7670066356658936,0.0007634375942870975,0.0006194775924086571
44,0.00017408907297067344,0.0006913574179634452,0.0005460557877086103
45,8.530652121407911e-05,0.000239514687564224,0.0002373309835093096
47,0.12506026029586792,0.009332425892353058,0.004953919444233179
53,0.12649191915988922,0.0446355901658535,0.0005764258676208556
54,0.12798428535461426,0.039438050240278244,0.0006008043419569731
56,0.03677179291844368,0.016900353133678436,0.014598562382161617
57,0.7553505897521973,0.007604164537042379,0.0005775436875410378
58,0.14392560720443726,0.026886817067861557,0.002371984999626875
59,0.06868016719818115,0.028285741806030273,0.0001758482976583764
60,0.035212405025959015,0.013447214849293232,0.0012636061292141676
61,0.0004404607170727104,0.002591929631307721,0.0006384285516105592
61,0.04843280836939812,0.0025262327399104834,0.0030644694343209267
66,4.650031041819602e-05,0.001123701105825603,0.007593740709125996
71,0.001390925724990666,0.002421679673716426,0.0007875753799453378
72,0.11798173189163208,0.0510115809738636,0.0002594948164187372
73,0.9221738576889038,0.006956188473850489,0.00021419068798422813
78,0.016610898077487946,7.965412805788219e-05,0.0005036869551986456
79,0.19382964074611664,0.000217553271795623,0.0007268299232237041
80,0.017249738797545433,0.00865094643086195,0.0017875457415357232
81,0.17411251366138458,0.011025790125131607,0.0034346391912549734
82,0.3814994692802429,0.0525464303791523,0.0013463505310937762
83,0.00012877101835329086,3.3504424209240824e-05,1.363132287224289e-05
84,3.192535587004386e-05,2.9482484023901634e-05,0.00014492632180918008
85,4.437141342350515e-06,2.2625254132435657e-06,3.510284841468092e-06
86,0.00015757157234475017,8.70603762450628e-05,8.842223178362474e-05
89,3.3827931474661455e-05,4.206671655992977e-05,7.265606836881489e-05
89,0.8097692728042603,0.00027462694561108947,0.00084272725507617
95,0.0005352841108106077,0.0008884311537258327,0.001187515095807612
96,0.06821687519550323,0.014254165813326836,0.000902924279216677
97,0.14615029096603394,0.014794599264860153,0.0016936891479417682
99,0.0004658745019696653,0.0018409650074318051,0.0020066406577825546
102,0.06290300190448761,0.0013325398322194815,0.0017375628231093287
103,0.05474266782402992,0.009818902239203453,0.0006544486386701465
105,0.10540679842233658,0.0011673528933897614,0.005765038076788187
108,0.013640900142490864,0.0032246881164610386,0.0007756478735245764
115,5.4913853091420606e-05,8.61475127749145e-05,0.00014926963194739074
115,0.00018798295059241354,0.0001773674157448113,0.0008820571820251644
119,5.8513207477517426e-05,1.8233606169815175e-05,0.00028611026937142015
